customer_id,timestamp,status,quantity,product
c0800,2025-05-04 09:20:00,delivered,350,AI SMS
c0800,2025-05-19 15:10:00,delivered,1200,AI SMS
c0800,2025-05-30 18:45:00,delivered,4800,AI SMS
c0800,2025-06-06 11:30:00,delivered,600,AI SMS
c0800,2025-06-17 13:55:00,delivered,3000,AI SMS
c0800,2025-06-29 20:05:00,delivered,150,AI SMS
c0800,2025-07-03 10:40:00,delivered,900,AI SMS
c0800,2025-07-14 16:25:00,delivered,2200,AI SMS
c0800,2025-07-22 12:15:00,delivered,5200,AI SMS
c0800,2025-07-30 19:35:00,delivered,450,AI SMS 
