customer_id,timestamp,status,quantity,product
c0027,2025-05-15 11:00:00,sent,1440,WhatsApp Messaging
c0027,2025-06-15 11:00:00,sent,2400,WhatsApp Messaging
c0027,2025-07-15 11:00:00,sent,4000,WhatsApp Messaging
c0027,2025-05-05 09:00:00,sent,120,WhatsApp Messaging
c0027,2025-05-10 10:30:00,sent,180,WhatsApp Messaging
c0027,2025-05-20 14:00:00,sent,200,WhatsApp Messaging
c0027,2025-05-25 16:00:00,sent,100,WhatsApp Messaging
c0027,2025-06-05 09:00:00,sent,300,WhatsApp Messaging
c0027,2025-06-10 10:30:00,sent,400,WhatsApp Messaging
c0027,2025-06-20 14:00:00,sent,350,WhatsApp Messaging
c0027,2025-07-05 09:00:00,sent,500,WhatsApp Messaging
c0027,2025-07-10 10:30:00,sent,600,WhatsApp Messaging
c0027,2025-07-20 14:00:00,sent,700,WhatsApp Messaging
