customer_id,timestamp,status,quantity,product
c0800,2025-05-05 08:30:00,delivered,400,WhatsApp Messaging
c0800,2025-05-18 14:50:00,delivered,1100,WhatsApp Messaging
c0800,2025-05-29 17:20:00,delivered,5200,WhatsApp Messaging
c0800,2025-06-04 10:15:00,delivered,300,WhatsApp Messaging
c0800,2025-06-16 12:40:00,delivered,900,WhatsApp Messaging
c0800,2025-06-28 19:30:00,delivered,1800,WhatsApp Messaging
c0800,2025-07-02 09:55:00,delivered,600,WhatsApp Messaging
c0800,2025-07-13 15:35:00,delivered,2500,WhatsApp Messaging
c0800,2025-07-23 13:10:00,delivered,4800,WhatsApp Messaging
c0800,2025-07-31 20:45:00,delivered,200,WhatsApp Messaging 
