customer_id,timestamp,data.status,data.quantity,data.product
c0013,2025-07-16 15:00:00,sent,200,SMS
c0013,2025-07-17 11:00:00,delivered,80,AI SMS
c0013,2025-05-04 13:00:00,sent,700,SMS
c0013,2025-05-05 14:00:00,sent,800,AI SMS
c0013,2025-05-06 15:00:00,sent,400,SMS
c0013,2025-06-04 13:00:00,sent,1200,SMS
c0013,2025-06-05 14:00:00,sent,1800,AI SMS
c0013,2025-06-06 15:00:00,sent,900,SMS
c0013,2025-07-04 13:00:00,sent,3000,SMS
c0013,2025-07-05 14:00:00,sent,2500,AI SMS
c0013,2025-07-16 15:00:00,sent,200,SMS
c0013,2025-07-17 11:00:00,sent,80,AI SMS
